option_a,option_b,type,A,B_false,B_true
CHF 0.50 for sure,"If red then CHF 5, if blue then CHF 0",a,0.50,5,0
CHF 1 for sure,"If red then CHF 5, if blue then CHF 0",a,1,5,0
CHF 0 for sure,"If red then CHF -1, if blue then CHF 5",b,0,-1,5
CHF 0 for sure,"If red then CHF -2, if blue then CHF 5",b,0,-2,5
CHF -0.50 for sure,"If red then CHF -5, if blue then CHF 0",c,-0.5,-5,0
CHF -1 for sure,"If red then CHF -5, if blue then CHF 0",c,-1,-5,0
